playerName,runs,year,home,against
MEK Hussey,5,2007,Australia,South Africa
MJ Clarke,92,2007,Australia,South Africa
RT Ponting,91,2007,Australia,South Africa
SR Watson,33,2007,Australia,West Indies
MEK Hussey,9,2007,Australia,West Indies
MJ Clarke,41,2007,Australia,West Indies
RT Ponting,35,2007,Australia,West Indies
RT Ponting,86,2007,Australia,England
MJ Clarke,55,2007,Australia,England
MEK Hussey,30,2007,Australia,Ireland
MJ Clarke,23,2007,Australia,Sri Lanka
RT Ponting,66,2007,Australia,Sri Lanka
SR Watson,65,2007,Australia,New Zealand
MEK Hussey,37,2007,Australia,New Zealand
MJ Clarke,49,2007,Australia,New Zealand
RT Ponting,66,2007,Australia,New Zealand
MJ Clarke,60,2007,Australia,South Africa
RT Ponting,22,2007,Australia,South Africa
SR Watson,3,2007,Australia,Sri Lanka
MJ Clarke,8,2007,Australia,Sri Lanka
RT Ponting,37,2007,Australia,Sri Lanka
MJ Clarke,33,2007,Australia,New Zealand
MG Johnson,2,2007,Australia,New Zealand
MEK Hussey,20,2007,Australia,New Zealand
RT Ponting,10,2007,Australia,New Zealand
MJ Clarke,75,2007,Australia,New Zealand
MEK Hussey,65,2007,Australia,New Zealand
RT Ponting,5,2007,Australia,New Zealand
MEK Hussey,29,2007,Australia,New Zealand
MJ Clarke,7,2007,Australia,New Zealand
RT Ponting,111,2007,Australia,New Zealand
MJ Clarke,9,2007,Australia,New Zealand
MEK Hussey,8,2007,Australia,New Zealand
RT Ponting,104,2007,Australia,New Zealand
MJ Clarke,57,2007,Australia,England
RT Ponting,82,2007,Australia,England
MEK Hussey,46,2007,Australia,England
MJ Clarke,36,2007,Australia,England
RT Ponting,51,2007,Australia,England
MJ Clarke,18,2007,Australia,England
MEK Hussey,6,2007,Australia,England
SR Watson,9,2007,Australia,England
MEK Hussey,17,2007,Australia,England
MJ Clarke,33,2007,Australia,England
RT Ponting,75,2007,Australia,England
MJ Clarke,0,2007,Australia,England
SR Watson,37,2007,Australia,England
MEK Hussey,0,2007,Australia,England
RT Ponting,7,2007,Australia,England
MJ Clarke,47,2006,Australia,West Indies
SR Watson,0,2006,Australia,West Indies
MEK Hussey,13,2006,Australia,West Indies
RT Ponting,1,2006,Australia,West Indies
SR Watson,21,2006,Australia,England
MEK Hussey,32,2006,Australia,England
RT Ponting,1,2006,Australia,England
MJ Clarke,2,2006,Australia,India
SR Watson,50,2006,Australia,India
RT Ponting,58,2006,Australia,India
MG Johnson,3,2006,Australia,New Zealand
SR Watson,0,2006,Australia,New Zealand
MEK Hussey,35,2006,Australia,New Zealand
MJ Clarke,14,2006,Australia,New Zealand
RT Ponting,58,2006,Australia,New Zealand
SR Watson,57,2006,Australia,West Indies
RT Ponting,0,2006,Australia,West Indies
BJ Haddin,6,2007,Australia,New Zealand
SR Watson,8,2007,Australia,New Zealand
MEK Hussey,42,2007,Australia,New Zealand
MG Johnson,8,2007,Australia,New Zealand
BJ Haddin,49,2007,Australia,New Zealand
MEK Hussey,105,2007,Australia,New Zealand
BJ Haddin,38,2007,Australia,New Zealand
SR Watson,68,2007,Australia,New Zealand
MEK Hussey,13,2007,Australia,New Zealand
BJ Haddin,70,2006,Australia,West Indies
SR Watson,0,2006,Australia,West Indies
MEK Hussey,109,2006,Australia,West Indies
MJ Clarke,1,2006,Australia,West Indies
BJ Haddin,46,2006,Australia,India
RT Ponting,4,2006,Australia,India
MEK Hussey,13,2006,Australia,India
BJ Haddin,17,2006,Australia,West Indies
SR Watson,18,2006,Australia,West Indies
MEK Hussey,30,2006,Australia,West Indies
MJ Clarke,23,2006,Australia,West Indies
RT Ponting,6,2006,Australia,West Indies
RT Ponting,107,2007,Australia,New Zealand
MJ Clarke,48,2007,Australia,New Zealand
MJ Clarke,7,2007,Australia,New Zealand
BJ Haddin,26,2007,Australia,New Zealand
MEK Hussey,9,2007,Australia,New Zealand
RT Ponting,134,2007,Australia,New Zealand
MEK Hussey,10,2008,Australia,Sri Lanka
MJ Clarke,77,2008,Australia,Sri Lanka
RT Ponting,9,2008,Australia,Sri Lanka
BJ Haddin,5,2008,Australia,India
MG Johnson,3,2008,Australia,India
MEK Hussey,65,2008,Australia,India
MJ Clarke,11,2008,Australia,India
RT Ponting,9,2008,Australia,India
MG Johnson,0,2008,Australia,Sri Lanka
MEK Hussey,25,2008,Australia,Sri Lanka
MJ Clarke,43,2008,Australia,Sri Lanka
RT Ponting,25,2008,Australia,Sri Lanka
RT Ponting,10,2008,Australia,India
MJ Clarke,79,2008,Australia,India
MG Johnson,9,2008,Australia,India
MEK Hussey,5,2008,Australia,India
MG Johnson,6,2008,Australia,Sri Lanka
MEK Hussey,64,2008,Australia,Sri Lanka
MJ Clarke,50,2008,Australia,Sri Lanka
RT Ponting,11,2008,Australia,Sri Lanka
MJ Clarke,31,2008,Australia,India
MEK Hussey,15,2008,Australia,India
RT Ponting,124,2008,Australia,India
BJ Haddin,7,2008,Australia,Sri Lanka
MJ Clarke,0,2008,Australia,Sri Lanka
RT Ponting,1,2008,Australia,Sri Lanka
MG Johnson,3,2008,Australia,Sri Lanka
MEK Hussey,5,2008,Australia,Sri Lanka
MG Johnson,6,2008,Australia,India
MEK Hussey,45,2008,Australia,India
MJ Clarke,4,2008,Australia,India
RT Ponting,1,2008,Australia,India
MJ Clarke,17,2008,Australia,India
MG Johnson,8,2008,Australia,India
MEK Hussey,44,2008,Australia,India
RT Ponting,1,2008,Australia,India
BJ Haddin,87,2007,Australia,India
MJ Clarke,27,2007,Australia,India
MJ Clarke,59,2007,Australia,India
RT Ponting,25,2007,Australia,India
MJ Clarke,6,2007,Australia,India
RT Ponting,29,2007,Australia,India
RT Ponting,39,2007,Australia,India
MJ Clarke,0,2007,Australia,India
BJ Haddin,25,2007,Australia,India
MG Johnson,1,2007,Australia,India
RT Ponting,49,2007,Australia,India
BJ Haddin,19,2007,Australia,India
MG Johnson,24,2007,Australia,India
MJ Clarke,0,2007,Australia,India
RT Ponting,57,2007,Australia,India
BJ Haddin,50,2008,Australia,West Indies
MG Johnson,3,2008,Australia,West Indies
SR Watson,31,2008,Australia,West Indies
MEK Hussey,44,2008,Australia,West Indies
MJ Clarke,9,2008,Australia,West Indies
RT Ponting,5,2008,Australia,West Indies
SR Watson,0,2008,Australia,West Indies
MEK Hussey,62,2008,Australia,West Indies
MJ Clarke,56,2008,Australia,West Indies
RT Ponting,13,2008,Australia,West Indies
SR Watson,126,2008,Australia,West Indies
MJ Clarke,11,2008,Australia,West Indies
RT Ponting,69,2008,Australia,West Indies
SR Watson,20,2008,Australia,West Indies
MEK Hussey,37,2008,Australia,West Indies
MJ Clarke,36,2008,Australia,West Indies
MG Johnson,0,2008,Australia,West Indies
SR Watson,29,2008,Australia,West Indies
MEK Hussey,51,2008,Australia,West Indies
MJ Clarke,5,2008,Australia,West Indies
BJ Haddin,3,2008,Australia,Bangladesh
MG Johnson,0,2008,Australia,Bangladesh
MEK Hussey,85,2008,Australia,Bangladesh
MJ Clarke,14,2008,Australia,Bangladesh
MJ Clarke,1,2008,Australia,Bangladesh
SR Watson,29,2008,Australia,Bangladesh
MEK Hussey,8,2008,Australia,Bangladesh
BJ Haddin,16,2008,Australia,Bangladesh
SR Watson,27,2008,Australia,Bangladesh
MEK Hussey,57,2008,Australia,Bangladesh
MJ Clarke,25,2008,Australia,Bangladesh
SR Watson,46,2009,Australia,England
MEK Hussey,20,2009,Australia,England
MJ Clarke,45,2009,Australia,England
MG Johnson,43,2009,Australia,England
SR Watson,34,2009,Australia,England
MEK Hussey,8,2009,Australia,England
MJ Clarke,4,2009,Australia,England
SR Watson,7,2009,Australia,England
MEK Hussey,8,2009,Australia,England
MJ Clarke,52,2009,Australia,England
MJ Clarke,62,2009,Australia,England
RT Ponting,48,2009,Australia,England
SR Watson,26,2009,Australia,England
MJ Clarke,52,2009,Australia,England
RT Ponting,126,2009,Australia,England
MG Johnson,18,2009,Australia,England
SR Watson,36,2009,Australia,England
MEK Hussey,6,2009,Australia,England
RT Ponting,6,2009,Australia,England
SR Watson,4,2009,Australia,England
MEK Hussey,65,2009,Australia,England
MG Johnson,10,2009,Australia,England
SR Watson,0,2009,Australia,England
MEK Hussey,49,2009,Australia,England
MJ Clarke,38,2009,Australia,England
RT Ponting,53,2009,Australia,England
BJ Haddin,53,2009,Australia,South Africa
MEK Hussey,83,2009,Australia,South Africa
MJ Clarke,1,2009,Australia,South Africa
RT Ponting,37,2009,Australia,South Africa
MG Johnson,1,2009,Australia,South Africa
BJ Haddin,1,2009,Australia,South Africa
MG Johnson,30,2009,Australia,South Africa
MEK Hussey,3,2009,Australia,South Africa
MJ Clarke,5,2009,Australia,South Africa
RT Ponting,8,2009,Australia,South Africa
BJ Haddin,15,2009,Australia,South Africa
MEK Hussey,1,2009,Australia,South Africa
MJ Clarke,35,2009,Australia,South Africa
RT Ponting,20,2009,Australia,South Africa
MG Johnson,9,2009,Australia,South Africa
BJ Haddin,78,2009,Australia,South Africa
MEK Hussey,2,2009,Australia,South Africa
MJ Clarke,50,2009,Australia,South Africa
RT Ponting,53,2009,Australia,South Africa
MG Johnson,5,2009,Australia,South Africa
BJ Haddin,62,2009,Australia,South Africa
MEK Hussey,49,2009,Australia,South Africa
MJ Clarke,66,2009,Australia,South Africa
RT Ponting,40,2009,Australia,South Africa
MG Johnson,2,2009,Australia,South Africa
BJ Haddin,19,2009,Australia,South Africa
MEK Hussey,6,2009,Australia,South Africa
MJ Clarke,19,2009,Australia,South Africa
RT Ponting,46,2009,Australia,South Africa
BJ Haddin,23,2009,Australia,South Africa
DA Warner,5,2009,Australia,South Africa
MEK Hussey,28,2009,Australia,South Africa
RT Ponting,64,2009,Australia,South Africa
BJ Haddin,6,2009,Australia,South Africa
MG Johnson,10,2009,Australia,South Africa
DA Warner,69,2009,Australia,South Africa
MEK Hussey,12,2009,Australia,South Africa
RT Ponting,29,2009,Australia,South Africa
BJ Haddin,3,2009,Australia,South Africa
MG Johnson,0,2009,Australia,South Africa
DA Warner,1,2009,Australia,South Africa
MEK Hussey,28,2009,Australia,South Africa
RT Ponting,63,2009,Australia,South Africa
MJ Clarke,0,2009,Australia,South Africa
BJ Haddin,63,2009,Australia,South Africa
MG Johnson,5,2009,Australia,South Africa
DA Warner,22,2009,Australia,South Africa
MEK Hussey,78,2009,Australia,South Africa
RT Ponting,12,2009,Australia,South Africa
BJ Haddin,31,2009,Australia,New Zealand
MG Johnson,20,2009,Australia,New Zealand
DA Warner,7,2009,Australia,New Zealand
MEK Hussey,49,2009,Australia,New Zealand
MJ Clarke,12,2009,Australia,New Zealand
RT Ponting,5,2009,Australia,New Zealand
MJ Clarke,98,2009,Australia,New Zealand
BJ Haddin,12,2009,Australia,New Zealand
DA Warner,2,2009,Australia,New Zealand
MEK Hussey,75,2009,Australia,New Zealand
BJ Haddin,109,2009,Australia,New Zealand
MEK Hussey,51,2009,Australia,New Zealand
MJ Clarke,64,2009,Australia,New Zealand
RT Ponting,16,2009,Australia,New Zealand
MG Johnson,1,2009,Australia,New Zealand
MJ Clarke,14,2009,Australia,New Zealand
BJ Haddin,43,2009,Australia,New Zealand
MEK Hussey,75,2009,Australia,New Zealand
RT Ponting,15,2009,Australia,New Zealand
BJ Haddin,40,2009,Australia,Pakistan
SR Watson,40,2009,Australia,Pakistan
MJ Clarke,4,2009,Australia,Pakistan
MJ Clarke,39,2009,Australia,Pakistan
SR Watson,30,2009,Australia,Pakistan
BJ Haddin,8,2009,Australia,Pakistan
BJ Haddin,26,2009,Australia,Pakistan
SR Watson,0,2009,Australia,Pakistan
MJ Clarke,66,2009,Australia,Pakistan
BJ Haddin,0,2009,Australia,Pakistan
SR Watson,85,2009,Australia,Pakistan
MJ Clarke,100,2009,Australia,Pakistan
BJ Haddin,36,2009,Australia,Pakistan
SR Watson,116,2009,Australia,Pakistan
MJ Clarke,26,2009,Australia,Pakistan
BJ Haddin,8,2010,Australia,West Indies
SR Watson,59,2010,Australia,West Indies
MEK Hussey,28,2010,Australia,West Indies
MJ Clarke,18,2010,Australia,West Indies
RT Ponting,49,2010,Australia,West Indies
MG Johnson,21,2010,Australia,West Indies
SR Watson,53,2010,Australia,West Indies
MJ Clarke,27,2010,Australia,West Indies
RT Ponting,57,2010,Australia,West Indies
RT Ponting,106,2010,Australia,West Indies
SR Watson,26,2010,Australia,West Indies
MEK Hussey,23,2010,Australia,West Indies
MG Johnson,7,2010,Australia,West Indies
MJ Clarke,47,2010,Australia,West Indies
BJ Haddin,32,2010,Australia,West Indies
SR Watson,51,2010,Australia,West Indies
RT Ponting,61,2010,Australia,West Indies
BJ Haddin,7,2010,Australia,Pakistan
MEK Hussey,35,2010,Australia,Pakistan
SR Watson,5,2010,Australia,Pakistan
MJ Clarke,58,2010,Australia,Pakistan
RT Ponting,27,2010,Australia,Pakistan
BJ Haddin,27,2010,Australia,Pakistan
SR Watson,69,2010,Australia,Pakistan
MEK Hussey,29,2010,Australia,Pakistan
MJ Clarke,25,2010,Australia,Pakistan
RT Ponting,13,2010,Australia,Pakistan
BJ Haddin,1,2010,Australia,Pakistan
SR Watson,33,2010,Australia,Pakistan
MEK Hussey,49,2010,Australia,Pakistan
MJ Clarke,80,2010,Australia,Pakistan
RT Ponting,0,2010,Australia,Pakistan
BJ Haddin,32,2010,Australia,Pakistan
MEK Hussey,67,2010,Australia,Pakistan
MJ Clarke,10,2010,Australia,Pakistan
RT Ponting,30,2010,Australia,Pakistan
MEK Hussey,40,2010,Australia,Pakistan
MG Johnson,13,2010,Australia,Pakistan
RT Ponting,55,2010,Australia,Pakistan
BJ Haddin,7,2010,Australia,Pakistan
MG Johnson,73,2009,Australia,West Indies
SR Watson,0,2009,Australia,West Indies
MEK Hussey,6,2009,Australia,West Indies
RT Ponting,79,2009,Australia,West Indies
MG Johnson,9,2009,Australia,Pakistan
MEK Hussey,64,2009,Australia,Pakistan
SR Watson,24,2009,Australia,Pakistan
RT Ponting,32,2009,Australia,Pakistan
RT Ponting,111,2009,Australia,England
SR Watson,136,2009,Australia,England
RT Ponting,1,2009,Australia,New Zealand
SR Watson,105,2009,Australia,New Zealand
MEK Hussey,11,2009,Australia,New Zealand
RT Ponting,74,2009,Australia,India
MG Johnson,14,2009,Australia,India
SR Watson,5,2009,Australia,India
MEK Hussey,73,2009,Australia,India
MG Johnson,21,2009,Australia,India
SR Watson,19,2009,Australia,India
RT Ponting,12,2009,Australia,India
MEK Hussey,53,2009,Australia,India
MG Johnson,9,2009,Australia,India
SR Watson,41,2009,Australia,India
MEK Hussey,81,2009,Australia,India
RT Ponting,59,2009,Australia,India
RT Ponting,52,2009,Australia,India
MG Johnson,8,2009,Australia,India
SR Watson,49,2009,Australia,India
MEK Hussey,40,2009,Australia,India
SR Watson,93,2009,Australia,India
MEK Hussey,31,2009,Australia,India
RT Ponting,45,2009,Australia,India
SR Watson,49,2009,Australia,India
MEK Hussey,35,2009,Australia,India
RT Ponting,25,2009,Australia,India
MJ Clarke,22,2010,Australia,New Zealand
BJ Haddin,12,2010,Australia,New Zealand
MG Johnson,21,2010,Australia,New Zealand
SR Watson,45,2010,Australia,New Zealand
MEK Hussey,59,2010,Australia,New Zealand
RT Ponting,44,2010,Australia,New Zealand
MJ Clarke,11,2010,Australia,New Zealand
BJ Haddin,53,2010,Australia,New Zealand
SR Watson,47,2010,Australia,New Zealand
MEK Hussey,56,2010,Australia,New Zealand
RT Ponting,1,2010,Australia,New Zealand
MG Johnson,16,2010,Australia,New Zealand
BJ Haddin,110,2010,Australia,New Zealand
SR Watson,15,2010,Australia,New Zealand
MEK Hussey,9,2010,Australia,New Zealand
RT Ponting,69,2010,Australia,New Zealand
BJ Haddin,0,2010,Australia,New Zealand
SR Watson,32,2010,Australia,New Zealand
MEK Hussey,28,2010,Australia,New Zealand
RT Ponting,50,2010,Australia,New Zealand
BJ Haddin,17,2010,Australia,New Zealand
SR Watson,53,2010,Australia,New Zealand
MEK Hussey,46,2010,Australia,New Zealand
RT Ponting,0,2010,Australia,New Zealand
MG Johnson,6,2010,Australia,New Zealand
RT Ponting,33,2010,Australia,Ireland
SR Watson,13,2010,Australia,Ireland
MEK Hussey,8,2010,Australia,Ireland
MJ Clarke,0,2010,Australia,Ireland
RT Ponting,21,2010,Australia,England
SR Watson,32,2010,Australia,England
MEK Hussey,28,2010,Australia,England
MJ Clarke,87,2010,Australia,England
RT Ponting,13,2010,Australia,England
SPD Smith,41,2010,Australia,England
SR Watson,57,2010,Australia,England
MEK Hussey,14,2010,Australia,England
MJ Clarke,1,2010,Australia,England
RT Ponting,3,2010,Australia,England
SPD Smith,20,2010,Australia,England
SR Watson,61,2010,Australia,England
MEK Hussey,21,2010,Australia,England
MJ Clarke,33,2010,Australia,England
RT Ponting,92,2010,Australia,England
SPD Smith,18,2010,Australia,England
SR Watson,41,2010,Australia,England
MEK Hussey,1,2010,Australia,England
MJ Clarke,99,2010,Australia,England
RT Ponting,15,2010,Australia,England
SPD Smith,15,2010,Australia,England
SR Watson,14,2010,Australia,England
MEK Hussey,79,2010,Australia,England
BJ Haddin,29,2011,Australia,Zimbabwe
MG Johnson,7,2011,Australia,Zimbabwe
SPD Smith,11,2011,Australia,Zimbabwe
SR Watson,79,2011,Australia,Zimbabwe
MJ Clarke,58,2011,Australia,Zimbabwe
RT Ponting,28,2011,Australia,Zimbabwe
MJ Clarke,24,2011,Australia,New Zealand
BJ Haddin,55,2011,Australia,New Zealand
SR Watson,62,2011,Australia,New Zealand
RT Ponting,12,2011,Australia,New Zealand
BJ Haddin,65,2011,Australia,Kenya
MG Johnson,12,2011,Australia,Kenya
SPD Smith,17,2011,Australia,Kenya
SR Watson,21,2011,Australia,Kenya
MEK Hussey,54,2011,Australia,Kenya
MJ Clarke,93,2011,Australia,Kenya
RT Ponting,36,2011,Australia,Kenya
BJ Haddin,88,2011,Australia,Canada
RT Ponting,7,2011,Australia,Canada
SR Watson,94,2011,Australia,Canada
MJ Clarke,16,2011,Australia,Canada
BJ Haddin,42,2011,Australia,Pakistan
MG Johnson,0,2011,Australia,Pakistan
SPD Smith,25,2011,Australia,Pakistan
SR Watson,9,2011,Australia,Pakistan
MEK Hussey,12,2011,Australia,Pakistan
MJ Clarke,34,2011,Australia,Pakistan
RT Ponting,19,2011,Australia,Pakistan
MJ Clarke,8,2011,Australia,India
BJ Haddin,53,2011,Australia,India
MG Johnson,6,2011,Australia,India
SR Watson,25,2011,Australia,India
MEK Hussey,3,2011,Australia,India
RT Ponting,104,2011,Australia,India
BJ Haddin,49,2010,Australia,Sri Lanka
MG Johnson,10,2010,Australia,Sri Lanka
SPD Smith,12,2010,Australia,Sri Lanka
SR Watson,10,2010,Australia,Sri Lanka
MEK Hussey,71,2010,Australia,Sri Lanka
MJ Clarke,27,2010,Australia,Sri Lanka
BJ Haddin,1,2010,Australia,Sri Lanka
MG Johnson,23,2010,Australia,Sri Lanka
SPD Smith,33,2010,Australia,Sri Lanka
SR Watson,40,2010,Australia,Sri Lanka
MEK Hussey,15,2010,Australia,Sri Lanka
MJ Clarke,25,2010,Australia,Sri Lanka
RT Ponting,10,2010,Australia,Sri Lanka
MJ Clarke,50,2010,Australia,Sri Lanka
BJ Haddin,31,2010,Australia,Sri Lanka
SR Watson,15,2010,Australia,Sri Lanka
MEK Hussey,6,2010,Australia,Sri Lanka
MJ Clarke,36,2011,Australia,England
BJ Haddin,39,2011,Australia,England
SPD Smith,5,2011,Australia,England
SR Watson,161,2011,Australia,England
MEK Hussey,21,2011,Australia,England
BJ Haddin,5,2011,Australia,England
SPD Smith,0,2011,Australia,England
SR Watson,5,2011,Australia,England
MJ Clarke,10,2011,Australia,England
MJ Clarke,9,2011,Australia,England
BJ Haddin,54,2011,Australia,England
SPD Smith,26,2011,Australia,England
SR Watson,9,2011,Australia,England
MJ Clarke,15,2011,Australia,England
BJ Haddin,20,2011,Australia,England
SPD Smith,46,2011,Australia,England
SR Watson,64,2011,Australia,England
BJ Haddin,37,2011,Australia,England
MJ Clarke,54,2011,Australia,England
MG Johnson,16,2011,Australia,England
SPD Smith,24,2011,Australia,England
SR Watson,16,2011,Australia,England
MJ Clarke,82,2011,Australia,England
BJ Haddin,20,2011,Australia,England
MG Johnson,57,2011,Australia,England
SPD Smith,0,2011,Australia,England
SR Watson,51,2011,Australia,England
BJ Haddin,27,2011,Australia,England
MG Johnson,26,2011,Australia,England
MEK Hussey,69,2010,Australia,India
MJ Clarke,111,2010,Australia,India
BJ Haddin,10,2011,Australia,Bangladesh
MG Johnson,26,2011,Australia,Bangladesh
SPD Smith,1,2011,Australia,Bangladesh
SR Watson,37,2011,Australia,Bangladesh
MEK Hussey,33,2011,Australia,Bangladesh
MJ Clarke,101,2011,Australia,Bangladesh
RT Ponting,34,2011,Australia,Bangladesh
BJ Haddin,8,2011,Australia,Bangladesh
SR Watson,185,2011,Australia,Bangladesh
RT Ponting,37,2011,Australia,Bangladesh
RT Ponting,47,2011,Australia,Bangladesh
MG Johnson,41,2011,Australia,Bangladesh
SPD Smith,5,2011,Australia,Bangladesh
SR Watson,72,2011,Australia,Bangladesh
MEK Hussey,108,2011,Australia,Bangladesh
MJ Clarke,47,2011,Australia,Bangladesh
BJ Haddin,9,2011,Australia,South Africa
DA Warner,20,2011,Australia,South Africa
MEK Hussey,30,2011,Australia,South Africa
MJ Clarke,44,2011,Australia,South Africa
RT Ponting,63,2011,Australia,South Africa
SPD Smith,26,2011,Australia,South Africa
DA Warner,74,2011,Australia,South Africa
SR Watson,15,2011,Australia,South Africa
MEK Hussey,37,2011,Australia,South Africa
MJ Clarke,1,2011,Australia,South Africa
RT Ponting,10,2011,Australia,South Africa
MG Johnson,9,2011,Australia,South Africa
BJ Haddin,13,2011,Australia,South Africa
DA Warner,10,2011,Australia,South Africa
SR Watson,49,2011,Australia,South Africa
MEK Hussey,45,2011,Australia,South Africa
MJ Clarke,26,2011,Australia,South Africa
RT Ponting,11,2011,Australia,South Africa
MG Johnson,6,2011,Australia,South Africa
BJ Haddin,23,2011,Australia,South Africa
MJ Clarke,53,2011,Australia,Sri Lanka
RT Ponting,53,2011,Australia,Sri Lanka
SR Watson,69,2011,Australia,Sri Lanka
MEK Hussey,2,2011,Australia,Sri Lanka
BJ Haddin,12,2011,Australia,Sri Lanka
MJ Clarke,58,2011,Australia,Sri Lanka
SR Watson,43,2011,Australia,Sri Lanka
BJ Haddin,7,2011,Australia,Sri Lanka
RT Ponting,90,2011,Australia,Sri Lanka
MJ Clarke,46,2011,Australia,Sri Lanka
BJ Haddin,5,2011,Australia,Sri Lanka
MG Johnson,1,2011,Australia,Sri Lanka
SPD Smith,18,2011,Australia,Sri Lanka
SR Watson,5,2011,Australia,Sri Lanka
MEK Hussey,63,2011,Australia,Sri Lanka
RT Ponting,22,2011,Australia,Sri Lanka
MJ Clarke,38,2011,Australia,Sri Lanka
BJ Haddin,5,2011,Australia,Sri Lanka
SR Watson,12,2011,Australia,Sri Lanka
MEK Hussey,0,2011,Australia,Sri Lanka
RT Ponting,0,2011,Australia,Sri Lanka
BJ Haddin,8,2011,Australia,Sri Lanka
MG Johnson,1,2011,Australia,Sri Lanka
SR Watson,56,2011,Australia,Sri Lanka
MEK Hussey,6,2011,Australia,Sri Lanka
MJ Clarke,47,2011,Australia,Sri Lanka
RT Ponting,31,2011,Australia,Sri Lanka
MJ Clarke,10,2012,Australia,India
DA Warner,6,2012,Australia,India
MEK Hussey,45,2012,Australia,India
RT Ponting,2,2012,Australia,India
MJ Clarke,57,2012,Australia,Sri Lanka
RT Ponting,1,2012,Australia,Sri Lanka
DA Warner,34,2012,Australia,Sri Lanka
MEK Hussey,23,2012,Australia,Sri Lanka
DA Warner,18,2012,Australia,India
MJ Clarke,38,2012,Australia,India
RT Ponting,6,2012,Australia,India
DA Warner,13,2012,Australia,Sri Lanka
MEK Hussey,13,2012,Australia,Sri Lanka
RT Ponting,2,2012,Australia,Sri Lanka
DA Warner,43,2012,Australia,India
MEK Hussey,59,2012,Australia,India
RT Ponting,7,2012,Australia,India
MJ Clarke,72,2012,Australia,Sri Lanka
DA Warner,7,2012,Australia,Sri Lanka
MEK Hussey,21,2012,Australia,Sri Lanka
DA Warner,68,2012,Australia,India
